,grating_freq,direction,duration,scaling,stim_type,trigger,blocks.thisN,resp.corr,resp.rt
0,10.0,decreament,0.6,100.0,standard,21.0,0.0,1.0,
1,10.0,decreament,0.6,100.0,standard,21.0,0.0,1.0,
2,10.0,decreament,0.6,100.0,standard,21.0,0.0,1.0,
3,10.0,decreament,0.6,100.0,standard,21.0,0.0,1.0,
4,10.0,decreament,0.6,100.0,standard,21.0,0.0,1.0,
5,10.0,decreament,0.6,100.0,standard,21.0,0.0,1.0,
6,10.0,decreament,0.6,100.0,standard,21.0,0.0,1.0,
7,10.0,decreament,0.6,100.0,standard,21.0,0.0,1.0,
8,10.0,decreament,0.6,100.0,standard,21.0,0.0,1.0,
9,10.0,decreament,0.6,100.0,standard,21.0,0.0,0.0,0.983394800000042
10,10.0,decreament,0.24,40.0,oddball,22.0,0.0,1.0,0.4502007000000958
11,10.0,decreament,0.6,100.0,standard,21.0,0.0,1.0,
12,10.0,decreament,0.6,100.0,standard,21.0,0.0,1.0,
13,10.0,decreament,0.6,100.0,standard,21.0,0.0,1.0,
14,10.0,decreament,0.6,100.0,standard,21.0,0.0,1.0,
15,10.0,decreament,0.6,100.0,standard,21.0,0.0,1.0,
16,10.0,decreament,0.36,60.0,oddball,23.0,0.0,1.0,0.4439545999998699
17,10.0,decreament,0.6,100.0,standard,21.0,0.0,1.0,
18,10.0,decreament,0.6,100.0,standard,21.0,0.0,1.0,
19,10.0,decreament,0.6,100.0,standard,21.0,0.0,1.0,
20,10.0,decreament,0.6,100.0,standard,21.0,0.0,1.0,
21,10.0,decreament,0.6,100.0,standard,21.0,0.0,1.0,
22,10.0,decreament,0.48,80.0,oddball,24.0,0.0,0.0,
23,10.0,decreament,0.6,100.0,standard,21.0,0.0,1.0,
24,10.0,decreament,0.6,100.0,standard,21.0,0.0,1.0,
25,10.0,decreament,0.6,100.0,standard,21.0,0.0,1.0,
26,10.0,decreament,0.6,100.0,standard,21.0,0.0,1.0,
27,10.0,decreament,0.6,100.0,standard,21.0,0.0,1.0,
28,10.0,decreament,0.6,100.0,standard,21.0,0.0,1.0,
29,10.0,decreament,0.6,100.0,standard,21.0,0.0,1.0,
30,10.0,increament,0.6,100.0,standard,25.0,0.0,1.0,
