direction,duration,trigger,stim_type,grating_freq,corr_ans,resp.rt,resp.keys,resp.corr,sim_resp,best_model
decreament,0.6,11.0,standard,5.0,None,None,None,1.0,None,novel
decreament,0.6,11.0,standard,5.0,None,None,None,1.0,None,novel
decreament,0.6,11.0,standard,5.0,None,None,None,1.0,None,novel
decreament,0.6,11.0,standard,5.0,None,None,None,1.0,None,novel
decreament,0.6,11.0,standard,5.0,None,None,None,1.0,None,novel
decreament,0.36,13.0,oddball,5.0,j,None,None,0.0,j,novel
decreament,0.6,11.0,standard,5.0,None,None,None,1.0,None,novel
decreament,0.6,11.0,standard,5.0,None,None,None,1.0,None,novel
decreament,0.6,11.0,standard,5.0,None,None,None,1.0,None,novel
decreament,0.6,11.0,standard,5.0,None,0.5580016002058983,j,0.0,None,novel
decreament,0.6,11.0,standard,5.0,None,None,None,1.0,None,novel
decreament,0.24,12.0,oddball,5.0,j,0.4689190001226961,j,1.0,j,novel
decreament,0.6,11.0,standard,5.0,None,None,None,1.0,None,novel
decreament,0.6,11.0,standard,5.0,None,None,None,1.0,None,novel
decreament,0.6,11.0,standard,5.0,None,None,None,1.0,None,novel
decreament,0.6,11.0,standard,5.0,None,None,None,1.0,None,novel
decreament,0.6,11.0,standard,5.0,None,None,None,1.0,None,novel
decreament,0.6,11.0,standard,5.0,None,None,None,1.0,None,novel
decreament,0.6,11.0,standard,5.0,None,None,None,1.0,None,novel
decreament,0.6,11.0,standard,5.0,None,None,None,1.0,None,novel
decreament,0.6,11.0,standard,5.0,None,0.5359768001362681,j,0.0,None,novel
decreament,0.6,11.0,standard,5.0,None,None,None,1.0,None,novel
decreament,0.48,14.0,oddball,5.0,j,None,None,0.0,None,novel
decreament,0.6,11.0,standard,5.0,None,None,None,1.0,None,novel
decreament,0.6,11.0,standard,5.0,None,None,None,1.0,None,novel
decreament,0.6,11.0,standard,5.0,None,None,None,1.0,None,novel
decreament,0.6,11.0,standard,5.0,None,None,None,1.0,None,novel
decreament,0.6,11.0,standard,5.0,None,0.4223963001277298,j,0.0,None,novel
decreament,0.6,11.0,standard,5.0,None,None,None,1.0,None,novel
decreament,0.6,11.0,standard,5.0,None,None,None,1.0,None,novel
increament,0.6,15.0,standard,5.0,None,None,None,1.0,None,novel
increament,0.6,15.0,standard,5.0,None,None,None,1.0,None,novel
increament,0.6,15.0,standard,5.0,None,None,None,1.0,None,novel
increament,0.6,15.0,standard,5.0,None,None,None,1.0,j,novel
increament,0.6,15.0,standard,5.0,None,None,None,1.0,None,novel
increament,0.6,15.0,standard,5.0,None,None,None,1.0,j,novel
increament,0.6,15.0,standard,5.0,None,None,None,1.0,None,novel
increament,0.6,15.0,standard,5.0,None,None,None,1.0,None,novel
increament,0.6,15.0,standard,5.0,None,None,None,1.0,None,novel
increament,0.6,15.0,standard,5.0,None,None,None,1.0,None,novel
increament,0.96,18.0,oddball,5.0,j,0.1348653000313788,j,1.0,j,novel
increament,0.6,15.0,standard,5.0,None,None,None,1.0,j,novel
increament,0.6,15.0,standard,5.0,None,None,None,1.0,None,novel
increament,0.6,15.0,standard,5.0,None,None,None,1.0,None,novel
increament,0.6,15.0,standard,5.0,None,None,None,1.0,j,novel
